week,pdd_close,jd_close,pdd_return,jd_return,pdd_weight,jd_weight,long_pdd_short_jd_return,long_pdd_short_jd_wealth
2024-01-26,141.77,23.86,-0.013018657755499707,0.07043517272319422,0.5,-0.5,-0.04172691523934696,171.01978521931989
2024-02-02,124.59,21.78,-0.1211821965154829,-0.0871751886001676,0.5,-0.5,-0.01700350395765765,168.1118496245054
2024-02-09,127.48,22.38,0.02319608315274091,0.02754820936639102,0.5,-0.5,-0.0021760631068250547,167.7460276307174
2024-02-16,135.26,24.22,0.061029181048007475,0.08221626452189446,0.5,-0.5,-0.01059354173694349,165.9690030858049
2024-02-23,127.69,23.9,-0.055966287150672756,-0.013212221304706895,0.5,-0.5,-0.02137703292298293,162.421078242645
2024-03-01,126.85,23.0,-0.006578432140339929,-0.03765690376569031,0.5,-0.5,0.01553923581267519,164.94497767840642
2024-03-08,110.34,24.75,-0.13015372487189591,0.07608695652173902,0.5,-0.5,-0.10312034069681747,147.93579538398018
2024-03-15,123.74,27.45,0.12144281312307403,0.10909090909090913,0.5,-0.5,0.006175952016082453,148.84943975773263
2024-03-22,122.99,26.5,-0.0060610958461290165,-0.03460837887067392,0.5,-0.5,0.01427364151227245,150.9740633001371
2024-03-29,116.25,27.39,-0.054801203349865824,0.03358490566037742,0.5,-0.5,-0.04419305450512162,144.30205829185445
2024-04-05,117.87,26.02,0.013935483870967769,-0.05001825483753197,0.5,-0.5,0.03197686935424987,148.91638635740242
2024-04-12,115.5,25.39,-0.02010689742937133,-0.024212144504227484,0.5,-0.5,0.0020526235374280777,149.22205563714837
2024-04-19,113.49,25.51,-0.01740259740259742,0.004726270185112291,0.5,-0.5,-0.011064433793854855,147.57099808196824
2024-04-26,129.31,30.34,0.1393955414573973,0.1893375147001175,0.5,-0.5,-0.024970986621360103,143.88600466316262
2024-05-03,140.18,32.87,0.08406155749748678,0.08338826631509555,0.5,-0.5,0.00033664559119561677,143.93444325226724
2024-05-10,136.27,32.2,-0.027892709373662394,-0.020383328262853495,0.5,-0.5,-0.0037546905554044496,143.39401395759054
2024-05-17,146.19,35.27,0.07279665370220867,0.09534161490683224,0.5,-0.5,-0.011272480602311785,141.77760771676597
2024-05-24,157.57,30.27,0.077843901771667,-0.141763538417919,0.5,-0.5,0.109803720094793,157.3453164702071
2024-05-31,149.78,29.62,-0.04943834486260068,-0.021473406012553653,0.5,-0.5,-0.013982469425023514,155.1452403934918
2024-06-07,143.9,29.33,-0.03925757778074501,-0.009790681971640902,0.5,-0.5,-0.014733447904552055,152.8594160765151
2024-06-14,148.98,28.77,0.03530229325920775,-0.019093078758949833,0.5,-0.5,0.027197686009078792,157.0168384784953
2024-06-21,143.86,28.1,-0.03436702913142686,-0.023288147375738588,0.5,-0.5,-0.005539440877844137,156.14705298491765
2024-06-28,132.95,25.84,-0.07583761990824434,-0.08042704626334529,0.5,-0.5,0.002294713177550478,156.5053656850378
2024-07-05,136.19,26.76,0.024370063933809805,0.035603715170278605,0.5,-0.5,-0.0056168256182344,155.6263023376669
2024-07-12,142.42,28.15,0.04574491519201107,0.05194319880418519,0.5,-0.5,-0.003099141806087058,155.1439943579655
2024-07-19,133.04,26.26,-0.06586153630108127,-0.06714031971580803,0.5,-0.5,0.0006393917073633792,155.24319214140525
2024-07-26,130.8,26.56,-0.016837041491280624,0.011424219345011366,0.5,-0.5,-0.014130630418145995,153.04950796832182
2024-08-02,127.41,25.16,-0.025917431192660656,-0.052710843373493965,0.5,-0.5,0.013396706090416655,155.0998672438563
2024-08-09,138.04,25.88,0.0834314418020563,0.02861685214626397,0.5,-0.5,0.027407294827896167,159.3507350331762
2024-08-16,149.29,29.29,0.08149811648797445,0.13176197836166925,0.5,-0.5,-0.025131930936847402,155.34594336558655
2024-08-23,139.87,26.83,-0.06309866702391309,-0.08398770911573916,0.5,-0.5,0.010444521045913036,156.96845734046562
2024-08-30,96.11,27.0,-0.3128619432330021,0.006336190831159216,0.5,-0.5,-0.15959906703208065,131.9164379954624
2024-09-06,93.3,26.07,-0.029237332223493895,-0.03444444444444439,0.5,-0.5,0.002603556110475247,132.25988984367757
2024-09-13,94.99,26.24,0.018113612004287294,0.00652090525508231,0.5,-0.5,0.005796353374602492,133.02651490249755
2024-09-20,99.9,28.55,0.05168965154226779,0.08803353658536595,0.5,-0.5,-0.018171942521549078,130.60916471984737
2024-09-27,135.38,39.9,0.35515515515515506,0.39754816112084046,0.5,-0.5,-0.021196502982842702,127.84070717027653
2024-10-04,154.27,46.97,0.13953316590338316,0.17719298245614046,0.5,-0.5,-0.01882990827637865,125.43347838027286
2024-10-11,144.76,43.83,-0.061645167563363024,-0.06685118160528003,0.5,-0.5,0.0026030070209585032,125.75998260515998
2024-10-18,124.62,39.98,-0.13912683061619224,-0.08783937942048825,0.5,-0.5,-0.025643725597851996,122.5350281200426
2024-10-25,122.47,39.9,-0.017252447440218255,-0.002001000500250094,0.5,-0.5,-0.00762572346998408,121.60060988021242
2024-11-01,120.56,40.44,-0.015595656079039788,0.013533834586466176,0.5,-0.5,-0.014564745332752982,119.82952796499968
2024-11-08,117.81,38.35,-0.022810218978102204,-0.0516815034619188,0.5,-0.5,0.014435642241908297,121.55934416071916
2024-11-15,114.0,35.0,-0.03234020881079702,-0.08735332464146028,0.5,-0.5,0.02750655791533163,124.9030233010257
2024-11-22,100.07,34.68,-0.12219298245614041,-0.00914285714285712,0.5,-0.5,-0.056525062656641645,117.84287208293125
2024-11-29,96.56,37.38,-0.03507544718696898,0.07785467128027679,0.5,-0.5,-0.05646505923362288,111.1888673305083
2024-12-06,99.89,37.18,0.03448632974316479,-0.005350454788657144,0.5,-0.5,0.019918392265910967,113.40357080559971
