forecast_month,market_return,exports_yoy_lag2,imports_yoy_lag2,cli_gap_lag2,reer_12m_lag2,benchmark_ma12
2008-07-31,0.0047846895746666,28.38028,40.79613,-0.6259839840005981,6.9435708706030885,-0.02490081354788175
2008-08-31,-0.1594990793928463,17.69832,31.05246,-1.9117316010412964,6.448374824156589,-0.03864965968379561
2008-09-30,-0.063870862060277,24.34854,29.80262,-3.1634159505426,6.077263756307527,-0.06626045245578514
2008-10-31,-0.2990884664310043,24.11602,28.22205,-4.335747864357799,7.2871123819750805,-0.0759354555099423
2008-11-30,0.0952522554524195,18.84962,16.54296,-5.356249948532806,10.65985727578116,-0.10245280250877054
2008-12-31,-0.0066892815586125,19.01526,15.99806,-6.136493164698905,16.872404275113606,-0.07926819356798709
2009-01-31,0.111772150911996,-0.6785971,-14.53479,-6.591247853738807,18.907563802976803,-0.0897765551627386
2009-02-28,0.0516796553821441,-6.06067,-24.76445,-6.680462074937495,14.098546390145984,-0.06842718016901957
2009-03-31,0.158367112421236,-17.64473,-42.10999,-6.415694590408705,13.612465797103201,-0.06509151055307412
2009-04-30,0.04489012632148,-21.96723,-19.52127,-5.8504625678949935,13.684353198080634,-0.03442533031654322
2009-05-31,0.0508335882157791,-17.8458,-26.47273,-5.056866030601,15.959775270674136,-0.03431081373501136
2009-06-30,0.1374918010018229,-21.79892,-21.93321,-4.097123425231601,12.34225747234159,-0.022412543650187997
2009-07-31,0.165028670367759,-26.28969,-24.03085,-3.0297595144589025,7.902710753161202,0.010493640819900346
2009-08-31,-0.277273959649702,-21.84835,-14.49992,-1.9251386359178042,5.486131076655143,0.023847305885991377
2009-09-30,0.0598388965671334,-23.17263,-14.14822,-0.8650012425667057,4.979612041738468,0.014032732531253408
2009-10-31,0.0877452108803034,-22.90208,-16.08358,0.06862045223199686,2.0626247120823393,0.024341879083537608
2009-11-30,0.0681354868923787,-14.89934,-3.039712,0.843507429577997,-2.0433234986199533,0.05657801885947992
2009-12-31,0.0180636600441044,-12.71219,-4.445338,1.4579431139869996,-7.659241443162424,0.05431828814614318
2010-01-31,-0.1097054023112917,-1.441542,24.7946,1.9049211551320013,-9.733904777643254,0.056381033279702925
2010-02-28,0.0239024736291941,17.26869,53.82992,2.1664977001120036,-6.423961496473252,0.037924570511095615
2010-03-31,0.0192965995217484,20.44816,88.12627,2.236083366648998,-7.6642584367076605,0.03560980536501645
2010-04-30,-0.0868317818986419,47.85617,44.58488,2.1383551539649943,-8.041913073110596,0.02402059595672582
2010-05-31,-0.1007937332818897,22.25765,59.96434,1.9117265263609937,-9.561995362917031,0.013043770271715658
2010-06-30,-0.0788177647546861,30.22787,50.77764,1.589363123723004,-7.397006707155363,0.0004081601469099252
2010-07-31,0.1127054938539524,45.88942,46.62834,1.2162006362329976,-2.23499878633423,-0.017617636999465825
2010-08-31,0.0118988798287515,42.83072,35.29986,0.8600338991810048,-0.040680244547108835,-0.021977901708949713
2010-09-30,0.0110915098248858,38.84489,27.44628,0.5869792333800063,-0.4070195832289514,0.002119834914254748
2010-10-31,0.1409681500570414,33.26217,33.71149,0.4368286651759945,-0.948039526172173,-0.001942447314265885
2010-11-30,-0.0746060508732018,25.94726,25.4999,0.4159423914740046,0.028513202934332682,0.002492797617128949
