month,US_S&P500,HK_HangSeng,US_SPY,CN_CSI300
2016-03-31,2059.739990234375,20776.69921875,174.15896606445312,3218.09
2016-04-30,2065.300048828125,21067.05078125,174.8454132080078,3156.75
2016-05-31,2096.949951171875,20815.08984375,177.81971740722656,3169.56
2016-06-30,2098.860107421875,20794.369140625,178.43783569335938,3153.92
2016-07-31,2173.60009765625,21891.369140625,184.9456787109375,3203.93
2016-08-31,2170.949951171875,22976.880859375,185.1671600341797,3327.79
2016-09-30,2168.27001953125,23297.150390625,185.1779022216797,3253.28
2016-10-31,2126.14990234375,22934.5390625,181.9674530029297,3336.28
2016-11-30,2198.81005859375,22789.76953125,188.67088317871094,3538.0
2016-12-31,2238.830078125,22000.560546875,192.49551391601562,3310.08
2017-01-31,2278.8701171875,23360.779296875,195.94017028808594,3387.96
2017-02-28,2363.639892578125,23740.73046875,203.63897705078125,3452.81
2017-03-31,2362.719970703125,24111.58984375,203.89352416992188,3456.05
2017-04-30,2384.199951171875,24615.130859375,205.9174346923828,3439.75
2017-05-31,2411.800048828125,25660.650390625,208.823486328125,3492.88
2017-06-30,2423.409912109375,25764.580078125,210.1547393798828,3666.8
2017-07-31,2470.300048828125,27323.990234375,214.4743194580078,3737.87
2017-08-31,2471.64990234375,27970.30078125,215.10006713867188,3822.09
2017-09-30,2519.360107421875,27554.30078125,219.43417358398438,3836.5
2017-10-31,2575.260009765625,28245.5390625,224.60499572753906,4006.72
2017-11-30,2647.580078125,29177.349609375,231.47024536132812,4006.1
2017-12-31,2673.610107421875,29919.150390625,234.2775115966797,4030.85
2018-01-31,2823.81005859375,32887.26953125,247.48114013671875,4275.9
2018-02-28,2713.830078125,30844.720703125,238.482666015625,4023.64
2018-03-31,2640.8701171875,30093.380859375,231.9457244873047,3898.5
2018-04-30,2648.050048828125,30808.44921875,233.14447021484375,3756.88
2018-05-31,2705.27001953125,30468.560546875,238.81202697753906,3802.38
2018-06-30,2718.3701171875,28955.109375,240.1853790283203,3510.98
2018-07-31,2816.2900390625,28583.009765625,249.08335876464844,3517.66
2018-08-31,2901.52001953125,27888.55078125,257.0340576171875,3334.5
2018-09-30,2913.97998046875,27788.51953125,258.562255859375,3438.86
2018-10-31,2711.739990234375,24979.689453125,240.69451904296875,3153.82
2018-11-30,2760.169921875,26506.75,245.15921020507812,3172.69
2018-12-31,2506.85009765625,25845.69921875,223.57334899902344,3010.65
2019-01-31,2704.10009765625,27942.470703125,241.4739227294922,3201.63
2019-02-28,2784.489990234375,28633.1796875,249.30148315429688,3669.37
2019-03-31,2834.39990234375,29051.359375,253.8140106201172,3872.34
2019-04-30,2945.830078125,29699.109375,264.1828918457031,3913.21
2019-05-31,2752.06005859375,26901.08984375,247.33558654785156,3629.79
2019-06-30,2941.760009765625,28542.619140625,264.5468444824219,3825.59
2019-07-31,2980.3798828125,27777.75,268.5466613769531,3835.36
2019-08-31,2926.4599609375,25724.73046875,264.0501708984375,3799.59
2019-09-30,2976.739990234375,26092.26953125,269.1881408691406,3814.53
2019-10-31,3037.56005859375,26906.720703125,275.13836669921875,3886.75
2019-11-30,3140.97998046875,26346.490234375,285.09796142578125,3828.67
2019-12-31,3230.780029296875,28189.75,293.3816223144531,4096.58
2020-01-31,3225.52001953125,26312.630859375,293.2630920410156,4003.9
2020-02-29,2954.219970703125,26129.9296875,270.0467224121094,3940.05
2020-03-31,2584.590087890625,23603.48046875,236.32566833496094,3686.16
2020-04-30,2912.429931640625,24643.58984375,266.33514404296875,3912.58
2020-05-31,3044.31005859375,22961.470703125,279.02471923828125,3867.02
2020-06-30,3100.2900390625,24427.189453125,283.9729919433594,4163.96
2020-07-31,3271.1201171875,24595.349609375,300.6968994140625,4695.05
2020-08-31,3500.31005859375,25177.05078125,321.6844482421875,4816.22
2020-09-30,3363.0,23459.05078125,309.6395568847656,4587.4
2020-10-31,3269.9599609375,24107.419921875,301.9190979003906,4695.33
2020-11-30,3621.6298828125,26341.490234375,334.7608642578125,4960.25
2020-12-31,3756.070068359375,27231.130859375,347.1631774902344,5211.29
2021-01-31,3714.239990234375,28283.7109375,343.6254577636719,5351.96
2021-02-28,3811.14990234375,28980.2109375,353.18011474609375,5336.76
2021-03-31,3972.889892578125,28378.349609375,369.21417236328125,5048.36
2021-04-30,4181.169921875,28724.880859375,388.7496032714844,5123.49
2021-05-31,4204.10986328125,29151.80078125,391.30218505859375,5331.57
2021-06-30,4297.5,28827.94921875,400.0780029296875,5224.04
2021-07-31,4395.259765625,25961.029296875,409.84490966796875,4811.17
2021-08-31,4522.68017578125,25878.990234375,422.0418701171875,4805.61
2021-09-30,4307.5400390625,24575.640625,402.37237548828125,4866.38
2021-10-31,4605.3798828125,25377.240234375,430.6042785644531,4908.77
2021-11-30,4567.0,23475.259765625,427.1444091796875,4832.03
2021-12-31,4766.18017578125,23397.669921875,446.8988952636719,4940.37
2022-01-31,4515.5498046875,23802.259765625,423.3289794921875,4563.77
2022-02-28,4373.93994140625,22713.01953125,410.8335266113281,4581.65
2022-03-31,4530.41015625,21996.849609375,426.27691650390625,4222.6
2022-04-30,4131.93017578125,21089.390625,388.8630065917969,4016.24
2022-05-31,4132.14990234375,21415.19921875,389.74072265625,4091.52
2022-06-30,3785.3798828125,21859.7890625,357.6025695800781,4485.01
2022-07-31,4130.2900390625,20156.509765625,390.5332336425781,4170.1
2022-08-31,3955.0,19954.390625,374.5987243652344,4078.84
2022-09-30,3585.6201171875,17222.830078125,339.9686279296875,3804.89
2022-10-31,3871.97998046875,14687.01953125,367.5997314453125,3508.7
2022-11-30,4080.110107421875,18597.23046875,388.0351867675781,3853.04
2022-12-31,3839.5,19781.41015625,365.6733703613281,3871.63
2023-01-31,4076.60009765625,21842.330078125,388.6695861816406,4156.86
2023-02-28,3970.14990234375,19785.939453125,378.8974609375,4069.46
2023-03-31,4109.31005859375,20400.109375,392.94610595703125,4050.93
2023-04-30,4169.47998046875,19894.5703125,399.22344970703125,4029.09
2023-05-31,4179.830078125,18234.26953125,401.0662841796875,3798.54
2023-06-30,4450.3798828125,18916.4296875,427.0553894042969,3842.45
2023-07-31,4588.9599609375,20078.939453125,441.03424072265625,4014.63
