month,真实净值(价格),对数收益正确累加,误当简单收益复利,偏离%
2013-03-31,1.2291368879691815,1.2291368879691806,1.1084069317902194,-9.822336092966498
2013-04-30,1.2513667722946886,1.2513667722946868,1.1282742014501217,-9.836650098903178
2013-05-31,1.2773486649342791,1.2773486649342776,1.1514604646340167,-9.855429747267907
2013-06-30,1.2581893270662172,1.2581893270662154,1.1340585246502088,-9.865828595562032
2013-07-31,1.3204219881073576,1.320421988107356,1.188808293698084,-9.967547919883069
2013-08-31,1.2790953950026194,1.2790953950026187,1.1510062489293402,-10.014041687095343
2013-09-30,1.3171478732069795,1.3171478732069781,1.184748677783154,-10.051961371767714
2013-10-31,1.375887074111439,1.3758870741114377,1.236439228370801,-10.135122886498138
2013-11-30,1.4144799792014056,1.4144799792014038,1.2706432050322178,-10.168880173927652
2013-12-31,1.4478090767047613,1.4478090767047598,1.3002358175316107,-10.192867384768023
2014-01-31,1.3962918224864054,1.3962918224864043,1.2531264434216376,-10.253256286342083
2014-02-28,1.456495779134072,1.4564957791340698,1.306025139990781,-10.331004133273225
2014-03-31,1.4665924488059787,1.4665924488059763,1.3150474861096717,-10.333133981406139
2014-04-30,1.4756864793550142,1.4756864793550124,1.3231766406776113,-10.334840144639745
2014-05-31,1.506720579316203,1.506720579316201,1.35071485228369,-10.353991919544448
2014-06-30,1.5354361599705653,1.5354361599705628,1.3762149935409111,-10.369767925271889
2014-07-31,1.5122820424043872,1.5122820424043855,1.355303836591337,-10.3802201845543
2014-08-31,1.569227469711186,1.5692274697111843,1.4054008056718827,-10.439956424510932
2014-09-30,1.5448827301387142,1.5448827301387122,1.383426751172477,-10.451018437609195
2014-10-31,1.580726266037469,1.580726266037467,1.4151575788888575,-10.47421623249518
2014-11-30,1.6195071540108577,1.6195071540108545,1.4494574232950885,-10.500091357708763
2014-12-31,1.6127237065634998,1.6127237065634978,1.4433734935773566,-10.500881973577858
2015-01-31,1.5626634631170602,1.5626634631170577,1.3978599158053717,-10.546323709581918
2015-02-28,1.6484419842845928,1.648441984284591,1.4725599789666477,-10.669590255205497
2015-03-31,1.6197655109544014,1.6197655109543994,1.4467177331624093,-10.683507990612085
2015-04-30,1.6335672410280007,1.6335672410279976,1.4589927317286955,-10.686704833126171
2015-05-31,1.6507056194738794,1.650705619473877,1.47421984446803,-10.691535360623527
2015-06-30,1.6160215344623972,1.6160215344623952,1.4429139621709144,-10.711959500531687
2015-07-31,1.6479250791636464,1.6479250791636444,1.471122472713229,-10.728801247454046
2015-08-31,1.5447965792852232,1.5447965792852214,1.376051578656197,-10.923444736465193
2015-09-30,1.5039477839772608,1.5039477839772581,1.3391751426079406,-10.956008122407768
2015-10-31,1.6287500601191445,1.6287500601191425,1.4459333540765889,-11.224356057993479
2015-11-30,1.6295723657129548,1.629572365712952,1.4466631769456513,-11.224367362616562
2015-12-31,1.601005660617844,1.6010056606178416,1.4210779861924263,-11.23841588142679
